Industry,Type,Year,Value
Electrical Machinery & Apparatus,FPEI,2011,45.5
Electrical Machinery & Apparatus,FDI,2011,990.1
Fabricated Metal Products,FEI,2011,2392.1
Fabricated Metal Products,FDEI,2011,2364.6
Fabricated Metal Products,FPEI,2011,27.5
Fabricated Metal Products,FDI,2011,2805.9
Financial & Insurance Services,FEI,2011,315062.2
Financial & Insurance Services,FDEI,2011,258116.9
Financial & Insurance Services,FPEI,2011,56945.3
Financial & Insurance Services,FDI,2011,295383.4
Financial Services,FEI,2011,307355.7
Financial Services,FDEI,2011,250432.5
Financial Services,FPEI,2011,56923.2
Financial Services,FDI,2011,287546.8
"Food, Beverages & Tobacco",FEI,2011,2540.6
"Food, Beverages & Tobacco",FDEI,2011,2537.9
"Food, Beverages & Tobacco",FPEI,2011,2.7
"Food, Beverages & Tobacco",FDI,2011,2561.9
Freight Water Transport,FEI,2011,22407.2
Freight Water Transport,FDEI,2011,21992.5
Freight Water Transport,FPEI,2011,414.7
Freight Water Transport,FDI,2011,23620.4
Information & Communications,FEI,2011,5541.6
Information & Communications,FDEI,2011,4504.3
Information & Communications,FPEI,2011,1037.3
Information & Communications,FDI,2011,5337.3
"Instrumentation, Photographic & Optical Goods",FEI,2011,6598.5
"Instrumentation, Photographic & Optical Goods",FDEI,2011,6598.5
"Instrumentation, Photographic & Optical Goods",FPEI,2011,-
"Instrumentation, Photographic & Optical Goods",FDI,2011,6531.3
Insurance Services,FEI,2011,7706.6
Insurance Services,FDEI,2011,7684.4
Insurance Services,FPEI,2011,22.2
Insurance Services,FDI,2011,7836.6
Investment Holding Companies,FEI,2011,266668.2
Investment Holding Companies,FDEI,2011,216403
Investment Holding Companies,FPEI,2011,50265.2
Investment Holding Companies,FDI,2011,248965.5
Land & Air Transport & Supporting Services,FEI,2011,59.3
Land & Air Transport & Supporting Services,FDEI,2011,-308
Land & Air Transport & Supporting Services,FPEI,2011,367.3
Land & Air Transport & Supporting Services,FDI,2011,-309
Machinery & Equipment,FEI,2011,8848.7
Machinery & Equipment,FDEI,2011,8816.5
Machinery & Equipment,FPEI,2011,32.2
Machinery & Equipment,FDI,2011,9603.5
Manufacturing,FEI,2011,124892
Manufacturing,FDEI,2011,123640.4
Manufacturing,FPEI,2011,1251.6
Manufacturing,FDI,2011,142141
Other Electronics nec,FEI,2011,6304.6
Other Electronics nec,FDEI,2011,5794.6
Other Electronics nec,FPEI,2011,510
Other Electronics nec,FDI,2011,5901.6
Other Financial Services,FEI,2011,22701.3
Other Financial Services,FDEI,2011,20646.6
Other Financial Services,FPEI,2011,2054.7
Other Financial Services,FDI,2011,24046.6
Other Water Transport nec,FEI,2011,6118
Other Water Transport nec,FDEI,2011,6092.6
Other Water Transport nec,FPEI,2011,25.4
Other Water Transport nec,FDI,2011,6544
Others,FEI,2011,10279.2
Others,FDEI,2011,10168.2
Others,FPEI,2011,111
Others,FDI,2011,11538.9
"Paper, Paper Products & Printing",FEI,2011,1116
"Paper, Paper Products & Printing",FDEI,2011,959.7
"Paper, Paper Products & Printing",FPEI,2011,156.3
"Paper, Paper Products & Printing",FDI,2011,987.9
Pharmaceutical Products,FEI,2011,43744.5
Pharmaceutical Products,FDEI,2011,43742.6
Pharmaceutical Products,FPEI,2011,1.9
Pharmaceutical Products,FDI,2011,44547.4
"Professional,  Scientific & Technical, Administrative & Support Services",FEI,2011,35747.5
"Professional,  Scientific & Technical, Administrative & Support Services",FDEI,2011,34940.2
"Professional,  Scientific & Technical, Administrative & Support Services",FPEI,2011,807.3
"Professional,  Scientific & Technical, Administrative & Support Services",FDI,2011,40578.7
Real Estate Activities,FEI,2011,22578.6
Real Estate Activities,FDEI,2011,19689.7
Real Estate Activities,FPEI,2011,2888.9
Real Estate Activities,FDI,2011,24485.8
Refined Petroleum Products,FEI,2011,10440.1
Refined Petroleum Products,FDEI,2011,10430.3
